date,factory,product_line,defect_count,batch_size,defect_reason
2023-03-13,Factory A,PW-4000,3.0,100.0,Human Error
2023-01-02,Factory E,,2.0,,Assembly Error
2022-11-14,Factory C,Industrial-X,17.0,257.0,Assembly Error
2022-07-04,Factory B,Commercial-Pro,15.0,149.0,
2022-10-20,Factory C,PW-3000,31.0,142.0,Material Defect
2022-12-19,Factory C,Industrial-X,33.0,60.0,Material Defect
2023-04-21,Factory D,,13.0,218.0,
2023-06-04,Factory A,,7.0,296.0,
2023-04-04,Factory A,PW-2000,10.0,110.0,Machine Malfunction
2022-11-25,Factory D,Commercial-Pro,6.0,135.0,Assembly Error
2023-10-11,Factory E,PW-4000,6.0,283.0,Human Error
2023-01-08,Factory C,,22.0,254.0,Machine Malfunction
2022-04-03,Factory B,,5.0,220.0,Quality Control Failure
,Factory E,PW-4000,10.0,260.0,Material Defect
2023-01-22,Factory D,PW-2000,14.0,292.0,Supplier Issue
2022-11-01,Factory B,Industrial-X,10.0,179.0,Machine Malfunction
2022-01-24,Factory D,,33.0,103.0,Supplier Issue
2022-05-01,Factory A,PW-3000,10.0,229.0,Assembly Error
2023-02-10,Factory D,PW-4000,8.0,132.0,Human Error
2023-07-25,Factory A,PW-2000,14.0,298.0,Human Error
2022-11-04,Factory D,PW-3000,37.0,143.0,Assembly Error
2022-05-25,Factory E,PW-3000,14.0,265.0,Assembly Error
2022-12-10,Factory E,Industrial-X,11.0,251.0,
2023-09-02,Factory E,Industrial-X,9.0,62.0,Material Defect
2023-11-21,Factory C,PW-2000,39.0,,Material Defect
2022-10-06,Factory E,PW-4000,8.0,163.0,Material Defect
2022-11-30,Factory C,,35.0,135.0,Assembly Error
2022-05-24,Factory B,PW-2000,15.0,251.0,Material Defect
2023-01-18,Factory E,PW-2000,3.0,95.0,Quality Control Failure
2022-07-16,Factory D,PW-4000,15.0,248.0,Machine Malfunction
2023-02-20,Factory C,,21.0,109.0,Material Defect
2023-02-12,Factory E,Industrial-X,5.0,216.0,Supplier Issue
2023-12-22,Factory E,PW-2000,4.0,173.0,Assembly Error
2022-05-23,Factory D,,31.0,158.0,Supplier Issue
2023-10-12,Factory D,PW-3000,35.0,101.0,Assembly Error
2023-07-20,Factory C,Commercial-Pro,25.0,295.0,Material Defect
2022-09-23,Factory B,Commercial-Pro,7.0,138.0,Material Defect
2022-01-23,Factory C,PW-4000,24.0,154.0,Quality Control Failure
2022-09-17,Factory B,,3.0,60.0,Assembly Error
2022-12-23,Factory D,PW-2000,24.0,210.0,Assembly Error
2022-10-19,Factory C,PW-2000,35.0,221.0,Assembly Error
2022-05-15,Factory B,PW-4000,1.0,273.0,
2022-04-01,Factory E,PW-4000,14.0,118.0,
2022-03-02,Factory A,PW-4000,10.0,275.0,Supplier Issue
2023-09-09,Factory C,PW-2000,12.0,285.0,Material Defect
2022-01-31,Factory E,Commercial-Pro,6.0,57.0,Supplier Issue
2023-02-05,Factory B,,14.0,251.0,Quality Control Failure
2023-06-29,Factory C,PW-4000,35.0,249.0,Machine Malfunction
2022-12-13,Factory A,PW-4000,10.0,60.0,Material Defect
2022-10-15,Factory C,Industrial-X,6.0,169.0,Material Defect
2023-10-02,Factory C,Commercial-Pro,7.0,,Material Defect
2022-05-11,Factory C,Industrial-X,13.0,134.0,Human Error
2022-03-02,Factory E,PW-3000,13.0,130.0,Quality Control Failure
2022-04-12,Factory D,PW-4000,24.0,164.0,Material Defect
2023-07-25,Factory A,PW-4000,1.0,211.0,Material Defect
2022-01-04,Factory C,PW-4000,34.0,127.0,Material Defect
2022-12-30,Factory B,Commercial-Pro,14.0,294.0,
2023-06-26,Factory C,PW-3000,30.0,202.0,
2022-02-07,Factory C,PW-2000,39.0,78.0,Assembly Error
2023-12-26,Factory E,PW-2000,13.0,254.0,Machine Malfunction
2022-06-02,Factory C,,33.0,244.0,Machine Malfunction
2022-11-13,Factory D,,13.0,95.0,Assembly Error
2023-06-05,Factory E,Industrial-X,7.0,272.0,
2022-09-06,Factory D,,8.0,287.0,Supplier Issue
2022-06-02,Factory C,PW-2000,29.0,135.0,Supplier Issue
2022-03-26,Factory E,PW-2000,11.0,91.0,Assembly Error
2023-10-27,Factory E,PW-2000,10.0,87.0,Material Defect
2023-04-06,Factory E,PW-4000,2.0,273.0,Material Defect
2023-05-28,Factory C,PW-4000,18.0,141.0,Quality Control Failure
2023-02-02,Factory B,Commercial-Pro,10.0,262.0,Quality Control Failure
2023-09-22,Factory A,,6.0,93.0,Supplier Issue
2023-06-11,Factory A,Commercial-Pro,9.0,101.0,Machine Malfunction
2023-12-25,Factory D,Industrial-X,32.0,231.0,Machine Malfunction
2022-08-14,Factory D,Industrial-X,28.0,66.0,Assembly Error
2023-10-23,Factory E,PW-4000,10.0,262.0,Human Error
2022-12-01,Factory A,PW-3000,8.0,76.0,Assembly Error
2023-12-13,Factory A,PW-3000,6.0,263.0,Human Error
2023-11-11,Factory E,Industrial-X,2.0,116.0,Quality Control Failure
2022-03-13,Factory E,PW-3000,11.0,105.0,Human Error
2022-11-07,Factory E,,6.0,61.0,Quality Control Failure
2023-09-07,Factory C,PW-3000,39.0,277.0,
2023-11-25,Factory D,PW-4000,33.0,184.0,Supplier Issue
2022-12-26,Factory D,PW-2000,10.0,80.0,Material Defect
2022-12-21,Factory C,PW-2000,32.0,134.0,Human Error
2023-01-30,Factory C,Commercial-Pro,27.0,230.0,Human Error
2023-11-29,Factory A,Commercial-Pro,14.0,283.0,Material Defect
2023-05-26,Factory C,PW-4000,16.0,132.0,Machine Malfunction
2022-07-09,Factory E,Commercial-Pro,2.0,129.0,Quality Control Failure
,Factory C,PW-2000,37.0,62.0,Machine Malfunction
,Factory C,PW-4000,40.0,284.0,Human Error
2022-03-23,Factory C,,39.0,258.0,Material Defect
2022-05-31,Factory E,Industrial-X,2.0,140.0,Machine Malfunction
2022-08-29,Factory D,Industrial-X,31.0,76.0,Machine Malfunction
2022-06-21,Factory A,PW-3000,7.0,299.0,Material Defect
2023-05-09,Factory B,PW-3000,2.0,167.0,Quality Control Failure
2022-08-13,Factory C,PW-4000,33.0,128.0,Human Error
2022-09-13,Factory C,PW-4000,21.0,136.0,Supplier Issue
2022-08-01,Factory E,Commercial-Pro,13.0,287.0,Supplier Issue
2023-01-24,Factory D,PW-2000,33.0,229.0,Material Defect
2023-01-06,Factory C,PW-2000,34.0,105.0,Supplier Issue
2022-02-20,Factory D,PW-4000,8.0,136.0,Quality Control Failure
2023-03-28,Factory E,PW-2000,1.0,72.0,Machine Malfunction
2023-07-06,Factory A,PW-3000,6.0,243.0,Assembly Error
2022-01-05,Factory C,PW-3000,39.0,120.0,Assembly Error
2023-09-08,Factory A,Industrial-X,3.0,217.0,Assembly Error
2023-11-15,Factory B,PW-3000,1.0,261.0,
2022-10-14,Factory A,PW-2000,10.0,140.0,Material Defect
2023-04-10,Factory D,PW-4000,31.0,67.0,Material Defect
2022-09-19,Factory A,,3.0,170.0,Assembly Error
2023-09-21,Factory E,Commercial-Pro,6.0,211.0,Human Error
2023-08-05,Factory E,PW-2000,3.0,96.0,Material Defect
2022-10-12,Factory C,PW-2000,14.0,250.0,Machine Malfunction
