date,factory,product_line,units_produced,shift
2023-10-10,Factory E,Commercial-Pro,135.0,Night
2022-03-27,Factory C,Commercial-Pro,220.0,Afternoon
2023-05-12,Factory C,Commercial-Pro,276.0,Morning
2023-12-08,Factory E,PW-4000,252.0,Afternoon
2023-04-22,Factory E,PW-4000,208.0,Morning
2022-06-30,Factory C,,121.0,Morning
2022-05-01,Factory A,PW-3000,345.0,Morning
2023-12-29,Factory E,PW-4000,109.0,Morning
2023-01-08,Factory E,PW-3000,190.0,Night
2023-02-11,Factory A,PW-3000,100.0,Night
2023-08-29,Factory A,PW-4000,110.0,Night
2023-08-24,Factory C,PW-3000,287.0,
2022-09-23,Factory B,PW-4000,154.0,Night
2023-03-01,Factory D,,95.0,Morning
2022-08-27,Factory B,Industrial-X,118.0,Night
2022-09-12,Factory D,PW-4000,79.0,Night
2023-05-28,Factory C,PW-2000,358.0,Night
2022-06-17,Factory B,PW-3000,336.0,Afternoon
2023-06-14,Factory B,PW-4000,181.0,Night
2023-12-23,Factory E,Industrial-X,87.0,Morning
2022-02-21,Factory B,Commercial-Pro,151.0,Morning
2022-01-11,Factory E,Commercial-Pro,221.0,
2023-08-05,Factory B,PW-3000,174.0,Afternoon
2023-03-21,Factory A,Commercial-Pro,166.0,Afternoon
2023-08-15,Factory D,PW-2000,129.0,Morning
2023-10-17,Factory C,Commercial-Pro,139.0,
2023-07-14,Factory D,PW-3000,86.0,Afternoon
,Factory A,PW-2000,311.0,
2023-07-10,Factory E,PW-3000,211.0,
2023-05-06,Factory E,Commercial-Pro,194.0,
2022-01-12,Factory D,Commercial-Pro,171.0,Night
2022-01-07,Factory E,PW-4000,109.0,Night
2023-10-30,Factory E,PW-2000,218.0,Morning
2022-09-16,Factory D,PW-3000,115.0,Morning
2022-02-06,Factory C,Industrial-X,306.0,
2022-05-21,Factory A,Industrial-X,218.0,
,Factory D,PW-2000,23.0,Night
2022-12-30,Factory E,PW-2000,115.0,Night
2023-01-12,Factory A,PW-2000,322.0,Morning
2022-12-09,Factory C,Commercial-Pro,274.0,Morning
2023-09-27,Factory C,PW-2000,375.0,Night
2022-12-13,Factory D,PW-3000,73.0,Night
2022-01-22,Factory D,PW-3000,25.0,Morning
2023-06-30,Factory A,,383.0,Afternoon
2022-06-27,Factory C,PW-4000,388.0,Night
2022-02-06,Factory A,Commercial-Pro,223.0,Morning
2022-11-13,Factory D,PW-3000,103.0,Morning
2022-02-27,Factory C,Commercial-Pro,280.0,Night
2023-05-23,Factory B,Industrial-X,184.0,Morning
2023-10-01,Factory E,PW-3000,180.0,Night
2023-04-13,Factory C,Commercial-Pro,176.0,Night
2022-03-07,Factory D,PW-4000,80.0,Night
2023-06-12,Factory C,Industrial-X,154.0,Morning
2023-01-04,Factory C,PW-2000,317.0,Morning
2022-04-29,Factory D,PW-3000,132.0,Afternoon
2022-04-10,Factory B,Industrial-X,333.0,Night
2022-07-30,Factory A,PW-4000,365.0,Morning
2022-01-10,Factory E,Industrial-X,155.0,Night
2023-07-28,Factory E,Industrial-X,209.0,Night
2022-08-31,Factory E,PW-4000,295.0,Morning
2022-10-14,Factory E,Commercial-Pro,259.0,Morning
2023-09-12,Factory A,PW-2000,176.0,Night
2023-03-16,Factory C,Commercial-Pro,162.0,Morning
2022-02-27,Factory A,PW-2000,327.0,Night
2023-05-24,Factory A,PW-3000,305.0,Afternoon
2023-09-24,Factory B,PW-2000,149.0,Morning
2022-08-31,Factory A,Industrial-X,356.0,Morning
2022-08-27,Factory A,PW-3000,143.0,Morning
2023-04-07,Factory E,PW-3000,196.0,Night
2022-03-22,Factory A,Industrial-X,288.0,Morning
2023-10-10,Factory A,,124.0,Night
2023-01-29,Factory E,Industrial-X,198.0,Night
2022-10-11,Factory B,PW-3000,317.0,Night
2022-10-03,Factory D,PW-3000,97.0,Night
2023-12-30,Factory E,Industrial-X,197.0,Night
2022-10-31,Factory D,Commercial-Pro,66.0,Morning
2023-12-08,Factory A,Industrial-X,122.0,Night
2022-08-08,Factory E,PW-2000,209.0,Morning
2023-01-29,Factory B,Commercial-Pro,258.0,Morning
2022-05-19,Factory C,PW-2000,253.0,Afternoon
2022-11-26,Factory D,PW-2000,175.0,Morning
,Factory C,PW-2000,253.0,Night
2023-04-21,Factory D,PW-3000,132.0,Afternoon
2022-07-17,Factory E,PW-3000,260.0,Night
2023-02-17,Factory E,Industrial-X,254.0,Night
2022-08-29,Factory E,PW-2000,179.0,Morning
2022-09-06,Factory D,PW-4000,75.0,
2022-07-12,Factory A,PW-4000,173.0,Morning
2022-01-18,Factory B,PW-3000,201.0,Night
2022-09-25,Factory A,PW-3000,333.0,Morning
2023-10-13,Factory A,PW-3000,345.0,Night
2023-03-13,Factory C,PW-3000,107.0,
2022-07-23,Factory D,PW-4000,112.0,Night
2023-01-20,Factory D,Industrial-X,40.0,Night
2023-10-13,Factory D,Industrial-X,88.0,Night
2023-10-21,Factory A,PW-3000,183.0,Afternoon
2022-01-12,Factory C,Industrial-X,306.0,Night
2023-03-14,Factory E,Industrial-X,133.0,Afternoon
2023-02-27,Factory E,PW-4000,270.0,Night
2022-08-16,Factory B,PW-2000,330.0,Night
2022-11-18,Factory C,PW-2000,248.0,Morning
2023-01-25,Factory C,PW-4000,395.0,
2023-05-27,Factory D,,172.0,Night
2023-02-23,Factory C,Commercial-Pro,156.0,Night
2022-10-26,Factory E,Industrial-X,189.0,Morning
2022-05-16,Factory D,Industrial-X,167.0,
2023-05-08,Factory B,PW-4000,393.0,Night
2023-12-11,Factory E,Commercial-Pro,252.0,
2023-01-13,Factory C,Commercial-Pro,122.0,Night
2023-03-25,Factory A,PW-3000,171.0,Night
2023-07-21,Factory C,PW-2000,179.0,Night
2022-09-25,Factory A,PW-4000,229.0,Morning
2022-04-14,Factory A,PW-2000,231.0,Night
2022-09-23,Factory A,Commercial-Pro,244.0,Night
2023-04-06,Factory C,PW-4000,236.0,Morning
2022-08-17,Factory E,PW-3000,146.0,Night
2022-04-21,Factory D,,25.0,Night
2022-08-20,Factory A,PW-3000,276.0,Morning
2022-08-12,Factory A,Industrial-X,301.0,Morning
2022-10-02,Factory C,Industrial-X,298.0,Morning
2023-02-17,Factory D,PW-4000,138.0,Night
2023-05-12,Factory B,PW-2000,363.0,Afternoon
2022-03-24,Factory D,PW-4000,145.0,
2023-07-18,Factory B,Industrial-X,113.0,Night
2023-12-01,Factory E,PW-4000,93.0,Afternoon
2022-07-31,Factory C,Industrial-X,366.0,Morning
2022-02-13,Factory A,PW-2000,336.0,Afternoon
2023-05-28,Factory B,Industrial-X,280.0,Night
2023-01-15,Factory A,PW-3000,140.0,Afternoon
2022-01-15,Factory A,PW-3000,157.0,Morning
