date,factory,downtime_hours,cause,resolved
12-01-2022,Factory C,1.7,Safety Incident,No
03/22/2022,FACTORY D,2.8,Equipment Failure,YES
2023-11-21,Factory A,4.1,Safety Incident,YES
01/16/2022,Factory D,6.8,Staff Shortage,Yes
2023/10/23,Factory E,1.0,Raw Material Shortage,no
2022-02-11,Factory B,26.4,Safety Incident,No
08/30/2022,Factory C,2.5,Power Outage,
2023-01-03,FAC-A,4.5,Raw Material Shortage,YES
2022/01/29,factory_e,5.0,,No
09/23/2022,FACTORY A,3.1,Safety Incident,no
14-04-2022,Factory A,3.6,SCHEDULED MAINTENANCE,
2023-01-22,Factory B,7.0,SCHEDULED MAINTENANCE,YES
2023/03/30,Factory A,1.2,Safety Incident,YES
01/10/2022,Factory D,17.5,equipment failure,YES
2023/09/13,FAC-D,14.6,Staff Shortage,no
2022-02-01,Factory E,2.0,,
12/06/2022,Factory C,2.8,Raw Material Shortage,yes
2022-11-23,FACTORY A,0.6,Equipment Failure,
2023-10-28,Factory A,5.6,Safety Incident,no
02/11/2022,factory_b,5.1,Equipment Failure,yes
06/03/2023,Factory E,5.6,Power Outage,Yes
19-05-2023,FAC-E,3.0,Staff Shortage,YES
,Factory C,4.4,,Yes
11-10-2023,factory_e,3.6,Raw Material Shortage,No
12-01-2022,Factory C,1.7,Scheduled Maintenance,no
2022/08/26,FACTORY D,7.6,equipment failure,no
2023-01-16,factory_b,7.1,Raw Material Shortage,No
07/24/2023,,47.7,,
2023-06-26,FACTORY A,0.5,SCHEDULED MAINTENANCE,No
2023-07-31,Factory C,4.8,Equipment Failure,no
,Factory B,2.0,Safety Incident,
11/26/2022,FACTORY D,17.9,Safety Incident,Yes
09-07-2022,Factory A,2.3,equipment failure,yes
2022/10/19,Factory C,3.1,Scheduled Maintenance,
10-09-2022,Factory B,,Safety Incident,YES
10/16/2022,Factory B,2.7,Safety Incident,
2023/10/15,FAC-D,7.1,Raw Material Shortage,No
2023-05-10,Factory C,4.9,Staff Shortage,YES
2022-08-18,Factory A,5.3,Raw Material Shortage,
13-08-2023,FAC-E,2.4,equipment failure,No
2023/05/11,,2.0,,YES
01/08/2022,Factory E,5.0,Safety Incident,Yes
2022-07-29,FACTORY D,6.5,SCHEDULED MAINTENANCE,No
10-08-2022,factory_c,2.5,SCHEDULED MAINTENANCE,
,Factory A,,equipment failure,
26-01-2022,FACTORY D,17.8,Safety Incident,YES
2022/08/07,factory_c,3.1,SCHEDULED MAINTENANCE,yes
2023/10/01,FACTORY D,1.4,Raw Material Shortage,YES
01/07/2023,FACTORY A,4.1,Equipment Failure,YES
04/21/2023,Factory A,2.1,equipment failure,YES
08/28/2023,FACTORY D,7.6,Safety Incident,yes
2023/01/25,Factory A,0.5,,no
2022/11/30,FACTORY D,9.3,Equipment Failure,yes
04/13/2022,Factory D,5.9,SCHEDULED MAINTENANCE,No
2023-05-15,FAC-D,9.7,Raw Material Shortage,no
2022-10-27,Factory B,4.2,Safety Incident,Yes
2022/07/27,Factory C,38.2,Scheduled Maintenance,yes
03/19/2022,factory_e,4.3,Staff Shortage,no
22-02-2022,FAC-D,8.8,SCHEDULED MAINTENANCE,no
2022-09-16,FAC-A,2.8,SCHEDULED MAINTENANCE,No
2022/02/16,Factory E,3.9,Equipment Failure,Yes
2022-03-04,FAC-A,5.8,Staff Shortage,Yes
26-08-2023,FAC-E,2.2,SCHEDULED MAINTENANCE,no
